stock,d1,d2,p1,p2,roi,percentage
1102,10/08 
2102,10/08 
2103,10/08 
2115,10/08 
2474,10/08 
2480,10/08 
3049,10/08 
3209,10/08 
3447,10/08 
4557,10/08 
4764,10/08 
4930,10/08 
4961,10/08 
6155,10/08 
6805,10/08 
9907,10/08 
9924,10/08 
9938,10/08
