stock,d1,d2,p1,p2,roi,percentage
1102, ,,,,,
2102, ,,,,,
2103, ,,,,,
2115, ,,,,,
2474, ,,,,,
2480, ,,,,,
3049, ,,,,,
3209, ,,,,,
3447, ,,,,,
4557, ,,,,,
4764, ,,,,,
4930, ,,,,,
4961, ,,,,,
6155, ,,,,,
6805, ,,,,,
9907, ,,,,,
9924, ,,,,,
9938,,,,,,
